Loan Name;Account ID;Account Holder Name;Account State;Loan Amount;Principal Due;Total Due;Total Paid;Days In Arrears;Interest from Arrears Balance;Interest from Arrears Due;Interest from Arrears Paid;Days Late;Product;Product Category;Created;Last Modified;Closed Date
Loan_Test_Eur;WYGC828;Client_Luís Ferreira;Approved;90000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;Loan_Test;PERSONAL_LENDING;16-02-2023 16:28:33;16-02-2023 16:28:37;
Retail Mortgage;MRTG-RET-AHUK907;Renato Teste zero dois;In Arrears;2000,00;700,00;1262,69;0,00;195,00;0,00;0,00;0,00;202,00;Retail Mortgage;RETAIL_MORTGAGES;16-03-2022 14:55:16;08-08-2023 04:41:10;
SO Mortgage Account - EUR;436602753;Carol Amandino;Approved;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account - EUR;RETAIL_MORTGAGES;24-07-2023 18:16:32;24-07-2023 18:16:33;
SO Mortgage Account - EUR;433430663;Carol Amandino;Approved;100000,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;SO Mortgage Account - EUR;RETAIL_MORTGAGES;24-07-2023 18:18:30;24-07-2023 18:18:30;
BNPL - Dynamic;MARKETBANK-599174;Joud  Zaumot;Closed;139,99;0,00;0,00;139,99;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;27-06-2022 21:23:50;27-06-2022 21:42:27;27-06-2022 21:42:27
BNPL - Dynamic;MARKETBANK-621435;Joud  Zaumot;Closed;139,98;0,00;0,00;139,98;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 11:08:50;27-06-2022 02:54:22;27-06-2022 02:54:23
BNPL - Dynamic;MARKETBANK-785405;Joud  Zaumot;Closed;69,99;0,00;0,00;69,99;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 13:43:10;27-06-2022 02:54:33;27-06-2022 02:54:33
BNPL - Dynamic;NGNZ761;Joud  Zaumot;Closed;122,00;0,00;0,00;122,01;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 15:03:25;27-06-2022 03:06:13;27-06-2022 03:06:14
BNPL - Dynamic;MZUU360;Joud  Zaumot;Closed;234,00;0,00;0,00;234,02;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 15:22:36;27-06-2022 03:06:03;27-06-2022 03:06:04
BNPL - Dynamic;OAZY331;Joud  Zaumot;Closed;6000,00;0,00;0,00;6000,37;0,00;0,00;0,00;0,00;0,00;BNPL - KTB;PERSONAL_LENDING;24-06-2022 15:26:46;27-06-2022 03:05:58;27-06-2022 03:05:58
