Loan Name;Account ID;Account Holder ID;Account Holder Name;Account State;Account Sub-State;Loan Amount;Principal Due;Total Due;Principal Paid;Total Paid;Approval Date;Activation Date;Last Payment Date;Last Modified;Closed Date
Loan_Test_Eur;WYGC828;009798433;Client_Luís Ferreira;Approved;;90000,00;0,00;0,00;0,00;0,00;16-02-2023 16:28:38;;;16-02-2023 16:28:37;
Retail Mortgage;MRTG-RET-AHUK907;184647327;Renato Teste zero dois;In Arrears;;2000,00;700,00;1262,69;0,00;0,00;16-03-2022 14:58:37;19-12-2022 00:00:00;;08-08-2023 04:41:10;
SO Mortgage Account - EUR;436602753;243772958;Carol Amandino;Approved;;100000,00;0,00;0,00;0,00;0,00;24-07-2023 18:16:33;;;24-07-2023 18:16:33;
SO Mortgage Account - EUR;433430663;243772958;Carol Amandino;Approved;;100000,00;0,00;0,00;0,00;0,00;24-07-2023 18:18:31;;;24-07-2023 18:18:30;
BNPL - Dynamic;MARKETBANK-599174;881857316;Joud  Zaumot;Closed;;139,99;0,00;0,00;139,99;139,99;27-06-2022 21:23:51;27-06-2022 21:23:52;27-06-2022 21:42:27;27-06-2022 21:42:27;27-06-2022 21:42:27
BNPL - Dynamic;MARKETBANK-621435;881857316;Joud  Zaumot;Closed;;139,98;0,00;0,00;139,98;139,98;24-06-2022 11:10:11;24-06-2022 00:00:00;27-06-2022 02:54:22;27-06-2022 02:54:22;27-06-2022 02:54:23
BNPL - Dynamic;MARKETBANK-785405;881857316;Joud  Zaumot;Closed;;69,99;0,00;0,00;69,99;69,99;24-06-2022 13:43:11;24-06-2022 00:00:00;27-06-2022 02:54:32;27-06-2022 02:54:33;27-06-2022 02:54:33
BNPL - Dynamic;NGNZ761;881857316;Joud  Zaumot;Closed;;122,00;0,00;0,00;122,00;122,01;24-06-2022 15:03:27;24-06-2022 15:12:46;27-06-2022 03:06:14;27-06-2022 03:06:13;27-06-2022 03:06:14
BNPL - Dynamic;MZUU360;881857316;Joud  Zaumot;Closed;;234,00;0,00;0,00;234,00;234,02;24-06-2022 15:22:38;24-06-2022 15:22:58;27-06-2022 03:06:03;27-06-2022 03:06:03;27-06-2022 03:06:04
BNPL - Dynamic;OAZY331;881857316;Joud  Zaumot;Closed;;6000,00;0,00;0,00;6000,00;6000,37;24-06-2022 15:26:47;24-06-2022 15:27:03;27-06-2022 03:05:58;27-06-2022 03:05:58;27-06-2022 03:05:58
BNPL - Dynamic;PMNR842;881857316;Joud  Zaumot;Closed;;123,00;0,00;0,00;123,00;123,00;24-06-2022 15:47:52;24-06-2022 15:47:52;27-06-2022 03:05:51;27-06-2022 03:05:52;27-06-2022 03:05:52
BNPL - Dynamic;VTQG330;881857316;Joud  Zaumot;Closed;;200,00;0,00;0,00;200,00;200,00;24-06-2022 15:48:58;24-06-2022 15:48:58;27-06-2022 03:06:30;27-06-2022 03:06:30;27-06-2022 03:06:30
BNPL - Dynamic;SITW221;881857316;Joud  Zaumot;Closed;;280,00;0,00;0,00;280,00;280,00;24-06-2022 15:50:25;24-06-2022 15:50:25;27-06-2022 03:06:35;27-06-2022 03:06:35;27-06-2022 03:06:35
BNPL - Dynamic;YGGI290;881857316;Joud  Zaumot;Closed;Withdrawn;300,00;0,00;0,00;0,00;0,00;24-06-2022 16:29:49;;;27-06-2022 03:06:40;27-06-2022 03:06:41
BNPL - Dynamic;SCDZ737;881857316;Joud  Zaumot;Closed;;3000,00;0,00;0,00;3000,00;3000,00;24-06-2022 16:34:13;24-06-2022 16:34:13;27-06-2022 03:05:04;27-06-2022 03:05:04;27-06-2022 03:05:05
BNPL - Dynamic;MARKETBANK-576829;881857316;Joud  Zaumot;Closed;;69,99;0,00;0,00;69,99;69,99;24-06-2022 16:42:55;24-06-2022 16:42:55;27-06-2022 03:07:01;27-06-2022 03:07:01;27-06-2022 03:07:02
BNPL - Dynamic;MARKETBANK-857955;881857316;Joud  Zaumot;Closed;;69,99;0,00;0,00;69,99;69,99;27-06-2022 03:12:43;27-06-2022 03:12:43;27-06-2022 03:27:00;27-06-2022 03:27:00;27-06-2022 03:27:00
AAAA;SZGZ787;979822302;Feyre Archeron;In Arrears;;5000,00;1150,00;1245,91;0,00;0,00;22-03-2022 16:06:53;19-12-2022 00:00:00;;19-05-2023 02:21:09;
